No_voie;BTQ;Type_voie;Voie;Total_piece;Surface_carrez;Surface_local;Type_local
5;;IMP;DU CHANT DE L ALOUETTE;3;55,5;;Appartement
5279;F;RUE;DU 14 JUILLET;3;53,09;;Appartement
55;;RUE;FRANCIS DAVSO;2;48,24;;Appartement
9;;RUE;BOSCARY;1;28,4;;Appartement
9;;RUE;CRUDERE;3;51,01;;Appartement
13;;BD;GUSTAVE GANAY;3;51,54;;Appartement
4;;RUE;AUX NAMPS;2;34,83;;Appartement
1;;RUE;PESTEL;1;12,44;;Appartement
1;;AV;P CASSAGNAVERE;2;53,76;;Appartement
1;;RUE;CHARLES KOECHLIN;2;52,82;792;Maison
66;;AV;DENFERT ROCHEREAU;1;32,18;;Appartement
6;;RUE;DES MENDRIES;3;49,9;;Maison
5;;RES;DE LA HAUTE RIVE;4;68,3;;Appartement
33;;RUE;ANATOLE LE BRAZ;2;54,42;;Appartement
16;H;BD;DE L ATLANTIQUE;4;64;;Appartement
19;;AV;DAUMESNIL;1;31,05;;Appartement
850;;CHE;DES GOUILLOTTES;5;127,96;;Appartement
34;B;RUE;DU FAUBOURG ST JEAN;5;106,03;;Maison
22;;RUE;THEAULON;2;32,29;;Appartement
145;;QUAI;DE BILINA;2;39,5;;Appartement
80;;RUE;DES ANEMONES;1;20;;Appartement
4;B;RUE;ARNAVIELLE;3;60,07;;Appartement
3;;RUE;DAUMESNIL;2;54;;Appartement
230;;BD;DE LA REPUBLIQUE;2;44,12;;Appartement
52;;RUE;DU TONDU;4;61,16;;Appartement
17;;RUE;DES HIRONDELLES;4;86,3;;Maison
17;;RUE;LAURENT FIGNON;2;39,23;;Appartement
7;;AV;PASTEUR;1;24,6;;Appartement
5;;RUE;HENRI HERTZ;2;42,2;;Appartement
4;;ALL;DES ERABLES;3;63,1;;Appartement
6;;RUE;DOYEN GOSSE;1;21;;Appartement
4;;PL;BIR HAKEIM;3;95,74;;Appartement
13;;AV;DE LA MUZELLE MT DE LANS;3;60,55;;Appartement
176;;AV;GABRIELE  D ANNUNZIO;1;29,78;;Maison
49;;AV;VICTOR HUGO;1;18,63;;Appartement
112;;AV;DU MARENSIN;3;82,35;;Maison
2;;CHE;DES GREFFIERS;4;94,39;396;Maison
52;;BD;DE L EGALITE;3;62,14;;Appartement
18;;RUE;BONNE GARDE;2;47,34;;Appartement
1;;RUE;PAUL VERLAINE;2;42,25;;Appartement
239;;FG;SAINT VINCENT;3;65,71;;Appartement
13;;ALL;DES ERABLES;1;72,37;;Appartement
74;;RTE;DE COUTANCES;2;57,88;;Appartement
7;;IMP;DES CARMELITES;4;119,95;;Appartement
21;;RUE;DES SOEURS MACARONS;2;36,6;;Appartement
2;;RES;DE PORH MEN GUEN;3;97,51;;Appartement
19;;AV;SIMONE;3;80,09;;Appartement
42;Q;RUE;JEAN JAURES;2;29,73;;Maison
468;;RUE;HENRI DURRE;5;153,25;;Maison
2;;RUE;AMPERE;1;41;;Appartement
59;C;RUE;DU GENERAL MANGIN;8;220,72;;Maison
35;;IMP;JEAN DE LA FONTAINE;2;30,38;;Appartement
1;;AV;JACQUES CARTIER;4;72,91;;Appartement
34;B;AV;DE LA GARE;3;67,47;;Appartement
76;;PL;GRAND PLACE;2;45,5;;Appartement
31;;RUE;HIPPOLYTE GOMOT;2;62,72;;Appartement
6;;AV;DE LA GARE;4;108,84;;Appartement
78;B;RUE;DES COLLONGES;2;43,25;;Appartement
496;;RUE;ETIENNE POULET;3;78,72;;Appartement
72;;RUE;SAINT PIERRE DE VAISE;1;32,82;;Appartement
2;;PL;DE LA RHODIACETA;3;75,31;;Appartement
24;;RUE;DE LA BANQUE;4;75,87;;Appartement
22;;RUE;D ALSACE LORRAINE;4;168,38;;Appartement
13;;RTE;DES MOULINS;1;21,29;;Appartement
110;;RTE;DE LA SAUGE;3;76,14;;Appartement
192;;RUE;SAINT DENIS;3;36,91;;Appartement
24;;RUE;DE SAINTONGE;1;66;;Appartement
8;;RUE;SAINT PAUL;2;25,34;;Appartement
30;;RUE;DES BOULANGERS;1;21,34;;Appartement
36;;RUE;DE BUCI;1;28,55;;Appartement
7;;RUE;COGNACQ JAY;3;82,62;;Appartement
38;;AV;CLAUDE VELLEFAUX;2;30,18;;Appartement
7;;RUE;PLICHON;3;58,45;;Appartement
33;;AV;PHILIPPE AUGUSTE;2;31,12;;Appartement
38;B;RUE;TRAVERSIERE;2;44,95;;Appartement
31;;RUE;DE L ABBE CARTON;1;25,06;;Appartement
8;;RUE;MARMONTEL;2;37,38;;Appartement
22;A;RUE;EMERIAU;6;99,96;;Appartement
62;;RUE;LEGENDRE;3;63,16;;Appartement
68;;RUE;MSTISLAV ROSTROPOVITCH;2;47,12;;Appartement
76;;RUE;LEPIC;3;53,01;;Appartement
21;B;RUE;DUHESME;3;52,46;;Appartement
124;;RUE;DAMREMONT;2;52,24;;Appartement
89;;RUE;DES POISSONNIERS;2;29,13;;Appartement
28;;RUE;DE TORCY;3;67,8;;Appartement
9;;RUE;HENRI CHEVREAU;1;21,01;;Appartement
4;;RUE;MICHEL DUBOSC;1;19,9;;Appartement
3;;RUE;HENRY LEMONNIER;1;45,84;;Appartement
10;;RUE;ROBERT DE THORIGNY;2;39,3;;Appartement
19;B;RUE;DU GENERAL DE GAULLE;2;32,99;;Appartement
56;;RUE;REMY DUMONCEL;1;24,06;;Appartement
4;;RUE;KONRAD ADENAUER;2;53,6;;Appartement
17;;AV;DU GENERAL DE GAULLE;1;31,42;;Appartement
13;Q;RUE;DE CHAMPAGNE;5;111,15;;Maison
2;E;SQ;DU PETIT MARGAT;3;60,25;;Appartement
2;C;CHE;DU GAZON;4;75,06;;Maison
17;;RUE;LOUVIOT;2;33,49;;Appartement
15;;RUE;DE VAUX;2;44,94;;Appartement
2;B;RUE;DU TEMPLE;3;66,54;;Appartement
113;;AV;DE POISSY;2;42,2;;Appartement
8;;SQ;DES AUBADES;4;67,6;;Appartement
9;;RES;DE LA SABOTTE;3;53,05;;Appartement
1;;SQ;DU JURANCON;1;27,81;;Appartement
3;;RUE;LOUIS PASTEUR;6;101,85;;Maison
9003;;CITE;LA GARENNE A BREFAUT;3;55,06;;Appartement
16;;RUE;DE L OCCIDENT;4;80,38;;Appartement
29;;RUE;DES LILAS;3;71,05;;Maison
71;;CHE;DE L ESCOURCHE;2;37,6;;Appartement
271;;BD;DES GRAVIERS;1;15,2;;Appartement
9500;;RES;LE ST VINCENT;2;29,85;;Appartement
1;;AV;PIERRE DE COUBERTIN;3;64,84;;Appartement
9733;;RES;LES TROIS TOURS 2;2;37,82;;Appartement
5;;AV;DU LITTORAL;3;64,41;;Appartement
3;;RUE;FIEF DES COUTS;3;63,63;;Appartement
46;;RUE;DU BAS RUET;4;88,5;;Maison
38;;RUE;JULES FERRY;3;81,24;;Appartement
1;;RUE;DE COLMAR;2;42,25;;Appartement
24;;RUE;DE CRONSTADT;3;56;;Appartement
43;;RUE;DES 3 CHENES;4;69,17;;Appartement
10;;RES;LES BOIS DU CERF;6;146,94;;Maison
5;;RUE;MONTTESSUY;3;49;;Appartement
4;;ALL;D'AUTRICHE;5;93,02;;Appartement
50;B;RTE;D ORLEANS RN 20;2;40;;Appartement
10;;ALL;DES ERABLES;5;115,97;;Maison
239;;AV;ROBERT LEUTHREAU;2;90;;Maison
4;;RUE;BERNARD JUGAULT;4;67,23;;Appartement
26;;RUE;DES BOURGUIGNONS;3;40,69;;Appartement
12;;RUE;DU R P CH GILBERT;2;54,2;;Appartement
1;;RUE;CLAUDE MIVIERE;3;52,47;;Appartement
6;;IMP;BELLEVUE;1;65,62;;Appartement
197;;RUE;GALLIENI;4;87,15;;Appartement
19;;ALL;ROBERT DOISNEAU;1;23,8;;Appartement
11;;RUE;SAINT DENIS;2;31,2;;Appartement
11;;RUE;FESSART;4;78,02;;Appartement
36;;RUE;PAUL HENRY THILLOY;1;76,85;;Appartement
1162;;AV;ROGER SALENGRO;3;59,73;;Appartement
85;;AV;HENRI BARBUSSE;3;40,8;;Appartement
273;;RUE;SAINT DENIS;3;61,06;;Appartement
