No_voie;BTQ;Type_voie;Voie;Total_piece;Surface_carrez;Surface_local;Type_local
12;;PAS;DES SOUPIRS;2;40;;Appartement
95;;RUE;DES MARAICHERS;3;60,66;;Appartement
1207;;RTE;DE NEUFCHATEL;2;56,55;;Appartement
8;;RUE;JEAN METADIER;2;54;;Appartement
4;;RUE;BAT DE L ORGE;4;79,96;;Appartement
13;;PL;SAINT MARC;2;29,34;;Appartement
31;;RUE;D ELBEUF;1;15,44;;Appartement
9001;;;AVE DE GAULLE 27 FOUGERES;4;66,53;;Appartement
75;;RUE;DES PEAULIERS;4;108,04;;Appartement
2;;SQ;DES PESSARDS;5;88,2;;Maison
3;;SQ;DES ROSEAUX;4;74,36;;Maison
1;B;RUE;DES CELESTINS;3;52,6;;Appartement
2;;RUE;DE LAGNY;3;61,91;;Appartement
10;;ALL;DES CATALPAS;4;82,12;;Appartement
1;;RUE;DU BOIS DU BRAY;3;60;;Appartement
2;;RUE;BOUCLE DES HESPERIDES;2;41,27;;Appartement
2;;RUE;LOUIS BRAILLE;4;89,97;;Appartement
2;;IMP;DU CURE MESLIER;2;41,71;;Appartement
40;;RUE;DE LA CHARBONNIERE;1;22,02;;Appartement
52;;AV;DE LA SOCIETE DES NATIONS;3;64,27;;Appartement
13;;ALL;DES DEMOISELLES;5;98,45;;Maison
6;;RUE;DE LA VERRERIE;2;50,06;;Appartement
43;;AV;DE SEINE;2;43,33;;Appartement
74;;RUE;HONORE DAUMIER;3;53,08;;Appartement
43;;RUE;DE MONTCEAUX;6;29,8;;Appartement
23;;RUE;DE LA MARNE;2;49,42;;Appartement
18;;RUE;DES PLATANES;2;44,51;;Appartement
1;;CITE;LES CHATAIGNIERS;4;71,85;;Appartement
3;;RUE;MARCEL AYME;3;62,58;;Appartement
9;;RUE;DE LA VOIE POISSONNIERE;4;81,87;;Appartement
39;;RUE;LOUISE WEISS;4;75,19;;Maison
1;;AV;PAUL CEZANNE;5;94,96;;Appartement
11;;RUE;GEORGES ENESCO;3;59;;Appartement
11;;RUE;DU TREMBLAY;4;96,53;;Maison
6;;RUE;DES COUTURES;1;27,05;;Appartement
30;;RUE;DE LA MAIRIE;2;65,79;;Maison
57;;RUE;HENRI RICHAUME;3;54,66;;Appartement
10;;RUE;MICHEL ANGE;4;76,63;;Maison
34;;RUE;NATIONALE;1;14,2;;Appartement
9;;AV;PIERRE CURIE;2;45,2;;Appartement
4;;RUE;DE MANTES;2;55,89;;Appartement
3;;RUE;ALEXANDRA DAVID-NEEL;3;63,79;;Appartement
2;B;RUE;PIERRE SEMARD;5;112,52;;Appartement
28;;BD;DU ROI;2;69,51;;Appartement
14;;RUE;DE LA PAROISSE;4;77,04;;Appartement
28;;RUE;DE LA PAROISSE;1;23,3;;Appartement
132;;BD;CARNOT;1;13,9;;Appartement
30;;RUE;JEAN REY;4;68,62;;Appartement
170;;RUE;RIOLAN;5;129,25;;Maison
1;;RUE;DU PHARE;4;57,45;;Appartement
38;;RUE;DES COTEAUX ENSOLEILLES;2;70,81;;Appartement
330;;AV;DE LA MER;2;25,25;;Appartement
23;;AV;JEAN JAURES;2;38,37;;Appartement
9001;;RES;LES RESTANQUES DU THOUAR;4;72;;Appartement
9613;;;LES GRES ET LA DINDONNE;4;88,01;;Maison
22;;RUE;ALPHONSE DAUDET;2;33,7;;Appartement
775;;AV;DE LA BAIE DES ISLES;2;28,97;;Appartement
440;;ALL;ANCIEN TRAIN DES PIGNES;2;34,92;;Appartement
9001;;RES;HOLIDAY;3;55,56;;Appartement
59;;AV;GENERAL LECLERC;2;38,44;;Appartement
9015;;AV;DU PORT DE PLAISANCE;4;71,19;;Appartement
282;;BD;LEON BOURGEOIS;3;53,11;;Appartement
6;;AV;DE LA GARE;1;19,88;;Appartement
145;;RUE;DU SAULE;2;46,4;;Appartement
284;;AV;DU COMTAT VENAISSIN;3;113,63;;Appartement
15;;RUE;DU CAPRICORNE;3;96,02;;Maison
47;;RUE;DU GENERAL DE GAULLE;4;91,76;;Appartement
78;;AV;DE LIMOGES;4;73,52;;Maison
7;;RUE;DES CHAMPS;5;108,8;;Appartement
12;;RUE;DES SALLES;2;64,68;;Appartement
13;B;RUE;DE CHEVANNES;4;96,3;;Maison
56;;CHE;DE LA FERTE ALAIS;5;115;;Maison
3;;RUE;JEAN FERRAT;3;65,8;;Maison
31;;RUE;SERPENTE;2;41,51;;Appartement
68;T;BD;SAINT MICHEL;4;84,7;;Maison
13;;RUE;SAINT MARTIN;1;17,41;;Appartement
37;;BD;DECAUVILLE;1;21,8;;Appartement
5;;RUE;DE DRAVEIL;3;57,97;;Appartement
3;;RUE;DE MILLY;1;27,68;;Appartement
9;T;RUE;DU GENERAL LECLERC;3;65,86;;Appartement
21;;RUE;MARCEAU;3;66,16;;Appartement
9001;;RES;COMPIEGNE JUVISY;3;70,02;;Appartement
76;;RUE;ARISTIDE BRIAND;3;56,34;;Appartement
15;A;RUE;JOLIOT CURIE;4;79,7;;Maison
10;;ALL;MARIE MADELEINE FOURCADE;4;95,07;;Maison
183;;RTE;DE CORBEIL;3;77,55;;Appartement
7;;RUE;CHABRIER;5;93,5;;Appartement
12;;RUE;JEAN JAURES;3;44,73;;Appartement
9030;;RUE;DE L ARMAGNAC;3;65,35;;Appartement
57;;BD;JEAN JAURES;2;45,42;;Appartement
94;;AV;DU GENERAL LECLERC;2;34,2;;Appartement
4;;RUE;PIERRE BROSSOLETTE;3;43,11;;Appartement
48;;RUE;JP TIMBAUD;4;120,06;;Appartement
3;;RUE;DES ROSES;3;59,41;;Appartement
126;;AV;DE VERDUN;1;29,08;;Appartement
115;;RUE;JULES GUESDE;3;47,02;;Appartement
94;;RUE;MARIUS AUFAN;4;133,85;;Appartement
60;;RUE;PHILIPPE TRIAIRE;2;50,93;;Appartement
6;;RUE;DE L'OUEST;5;77,26;;Appartement
2;;RUE;BLAISE PASCAL;1;29,31;;Appartement
11;;AV;DE LA REPUBLIQUE;1;24,07;;Appartement
3;;RUE;DE LA MELONNIERE;3;51,44;;Appartement
6;;RUE;FERRAGUS;2;42,35;;Appartement
9001;;RES;VALLEE DES ANGES;3;53,51;;Appartement
15;;RUE;VILLOT;2;33,06;;Appartement
16;;RUE;DES ABRICOTIERS;3;67,16;;Appartement
181;;AV;HENRI BARBUSSE;2;43,72;;Appartement
49;;AV;GALLIENI;4;77,05;;Appartement
2;;PL;D OBERURSEL;3;71,36;;Appartement
4;;RUE;ROSA PARKS;4;81,54;;Appartement
23;B;RUE;DENIS COUTURIER;3;68,14;;Maison
7;;RUE;DE LA MONTGOLFIERE;5;111,6;;Maison
13;;AV;JEAN JAURES;2;27,3;;Appartement
2;;RUE;SAMSON;3;63,02;;Appartement
40;;RUE;PARMENTIER;2;34,84;;Appartement
11;;RUE;DES PAROUZETS;3;43,32;;Appartement
79;;AV;DU GEN CHARLES DE GAULLE;3;70,24;;Appartement
21;;AV;EDOUARD BRANLY;3;46,83;;Appartement
1;;PL;DU PETIT PONT;2;53,11;;Appartement
3;;ALL;DES COQUELICOTS;1;2910,92;;Appartement
9001;;CLOS;DES PERROQUETS;1;28,37;;Appartement
47;;AV;DE LA LIBERTE;2;48,21;;Appartement
6;;ALL;DE L OSERAIE;3;58,06;;Appartement
11;;RUE;DU MOULIN DE LA ROCHE;4;81,45;;Appartement
75;;RUE;MARAT;3;59,86;;Appartement
13;;PL;LOUIS ARAGON;5;106,17;;Appartement
14;;AV;DU PROFESSEUR CADIOT;4;74,34;;Appartement
4;;AV;MARECHAL LYAUTEY;3;55,1;;Appartement
7;;RUE;DU MARECHAL VAILLANT;2;49,33;;Appartement
9;;RUE;JEAN MERMOZ;2;45,17;;Appartement
19;;RUE;DE LA STATION;1;24;;Appartement
3;;ALL;MOULIN DES CORBEAUX;2;49,27;;Appartement
57;;RUE;DES GABELLES;4;99,02;;Maison
4;;AV;MONTRICHARD;4;94,51;;Appartement
199;;RUE;DIDEROT;1;19,54;;Appartement
4;;ALL;AUGUSTE RENOIR;4;67,38;;Appartement
5;;RUE;ROBERT BRANCHARD;3;66,65;;Appartement
2;;RUE;GUSTAVE FLAUBERT;3;65,82;;Appartement
97;B;AV;DIVISION LECLERC;2;46,76;;Appartement
44;;AV;DES ADAGES;4;73,16;;Maison
1;;SQ;EDOUARD MANET;3;79,3;;Appartement
9;;RUE;DES TERRES DE LA FERME;4;97;;Maison
11;;AV;DU GENERAL DE GAULLE;2;43,43;;Appartement
4;;SQ;DES CHARDONNERETS;6;114;;Maison
101;;ALL;DE CORMEILLES;3;63;;Appartement
51;;RUE;DE LA FLAGE;3;63,23;;Appartement
5447;F;RES;PRINCIPAUTE;1;17,8;;Appartement
5433;F;RES;ROMANA II;3;65,41;;Appartement
23;;RUE;DES JACINTHES;2;25,78;;Appartement
3;;RUE;TANNERIE;2;38,97;;Appartement
7113;;;LES SAGNES;1;22,91;;Appartement
6;;RUE;DES REMPARTS;2;25,61;;Appartement
83;;AV;DU MARECHAL JUIN;2;66,84;;Appartement
202;D;RES;LES ARENES;1;21,01;;Appartement
9;;RUE;JEAN MARC CATHALA;3;56,14;;Appartement
69;;AV;DU PT J F KENNEDY;2;45,81;;Appartement
34;;RUE;SAINT LAURENT;1;22,36;;Appartement
40;;PL;JOSEPH PANCAUT;1;25,57;;Appartement
19;;BD;MARITIME;1;39,78;;Appartement
6874;;RES;LES GWENANS;1;19,69;;Appartement
10;;RUE;JEAN JAURES;2;46,15;;Appartement
396;;RTE;DE SALLANCHES;1;23,85;;Appartement
7;;PL;RENE BINET;4;63,32;;Appartement
6;;AV;DE LA COTE DE LUMIERE;3;62,24;;Appartement
16;;RUE;DE CHARPEAUX;2;33,1;;Appartement
24;;ALL;DES LILAS;4;84,57;;Appartement
15;;RUE;DE LA GRANDE FONTAINE;2;27,1;;Appartement
9;;RUE;DE LA FIDELITE;1;27,78;;Appartement
27;;RUE;DES VERGERS;2;43,42;;Appartement
13;;RUE;PAUL DOUMER;2;37,3;;Appartement
36;;AV;HENRI JAUBERT;4;82,11;;Appartement
38;;RUE;FRANCOIS CHABAS;2;45,08;;Appartement
25;;RUE;PASTEUR;2;35,18;;Appartement
2;A;RUE;MARTYRS RESISTANCE;1;23,2;;Appartement
54;;AV;JEAN MERMOZ;2;53,77;;Appartement
401;;ALL;JACQUES CARTIER;1;20,77;;Appartement
17;;AV;FLEURS;1;31,61;;Appartement
44;;AV;HECTOR BERLIOZ;3;42,61;;Appartement
7;;RUE;ANTOINE SCOFFIER;2;48,02;;Appartement
7;;RUE;DE L ESQUIAOU;1;57,01;;Appartement
8;;RUE;EDITH DUHAMEL;4;58,36;;Appartement
240;;CHE;DE GAROUMIOU;5;108,22;;Maison
19;;RUE;MONTGOLFIER;2;32,41;;Appartement
80;;ALL;PALLADIO;2;50,3;;Appartement
2;;RUE;DU TCHAD;3;56;;Appartement
10;;RUE;JOSEPH CLAUDE HABERT;1;14,41;;Appartement
295;;RUE;DU FBG CRONCELS;4;121,43;;Appartement
9001;;CHE;HAUT DE LA MER;4;85,35;;Maison
267;;RES;LA GRANDE BLEUE;2;24;;Maison
9002;;RES;CLAIRETTE AVE CAMUSSO;2;40,1;;Appartement
210;;CHE;ARENE CROS;1;22,13;;Appartement
43;;RTE;NATIONALE 96;2;21,48;;Appartement
30;;BD;DE LA LIBERTE;3;61,45;;Appartement
24;;RUE;DES ABEILLES;3;80,08;;Appartement
22;;RUE;DE LA PALUD;3;39,56;;Appartement
60;;BD;JARDIN ZOOLOGIQUE;3;49,19;;Appartement
3;;RUE;MONTEVIDEO;1;28,4;;Appartement
39;;RUE;DOCT FREDERIC GRANIER;3;64,7;;Appartement
101;;RUE;ALPHONSE DAUDET;4;64,45;;Appartement
1;;RUE;ANDRE ISAIA;4;80,56;;Appartement
62;;RUE;DOC BARDON;3;77,97;;Appartement
23;;AV;MICHEL LABROUSSE;2;52,95;;Appartement
63;;QUAI;MAURICE BARJON;1;33,43;;Appartement
4;;COTE;DES CHAPELIERS;3;105,43;;Appartement
5153;D;;LA LISCIA;2;34,67;;Appartement
5507;;;SOLENZARA;3;71,33;;Appartement
30;;RUE;DES CEVENNES;1;26,35;;Appartement
260;;RUE;DE MONTAGO;2;59,42;;Appartement
9001;;;PORT ROYAL;1;20,12;;Appartement
44;;RUE;NATIONALE;1;33,91;;Appartement
58;;AV;DU LAURAGAIS;4;103,66;;Appartement
8;;RUE;DU GENERAL GIRAUD;2;66,84;;Appartement
34;;AV;DE LAMARTINE;1;26,26;;Appartement
22;;RUE;DU MAL LECLERC;3;60,53;;Appartement
46;;RUE;TRANCHERE;2;49,4;;Appartement
6;;PL;PIERRE JACQUES DORMOY;3;49,66;;Appartement
59;;AV;DE LA LIBERATION;3;62,2;;Appartement
50;;AV;DES EYQUEMS;1;26,02;;Appartement
130;;AV;DU HAUT LEVEQUE;4;86,04;;Appartement
4;;ALL;CHAMPLAIN;4;75,72;;Maison
2158;;ZAC;DU PORT RIVE EST;1;33,01;;Maison
3;;RUE;JACQUES BREL;3;39,13;;Appartement
63;;RUE;DU BOIS DE MON COEUR;3;65,82;;Appartement
1;;IMP;DES CHAUFFAUX;5;108,5;;Appartement
28;;RUE;DE DINAN;2;36,26;;Appartement
22;;AV;JACQUELINE DE ROMILLY;5;93;;Appartement
9;;ALL;DE LANESTER;5;88,5;;Appartement
3;;RUE;DU MOULIN;2;24,7;;Appartement
5;;AV;DE VALMY;3;66,69;;Appartement
16;;RUE;AIME BEREY;4;73,08;;Appartement
10;;CHE;DES CLOS;2;40,16;;Appartement
78;;CHE;DU CANET;3;69,16;;Appartement
1998;;RTE;DE LESPECIER;3;46,09;;Maison
10;;RUE;DE L ESTEY;1;39;;Appartement
138;;AV;GEORGES CLEMENCEAU;2;46,57;;Appartement
54;;RUE;LABADIE;3;66,51;;Appartement
7;B;RUE;DES PYRENEES;3;90,92;;Appartement
33;;RUE;DU HUIT MAI;1;35,13;;Appartement
12;;RUE;DES JARDINS;4;91,48;;Maison
16;;RUE;JEAN MERMOZ;2;50;;Appartement
34;;BD;BLAISE PASCAL;2;75,87;;Appartement
19;;RUE;DU GARAT;2;51,15;;Appartement
18;;RUE;DE LA SABLIERE;3;62;;Appartement
24;;RUE;DU HUIT MAI 1945;3;57,74;;Appartement
4;;RUE;F R DE CHATEAUBRIAND;1;18,24;;Appartement
6;;RUE;NICOLAS COPERNIC;2;48,21;;Appartement
46;;QUAI;MAGELLAN;1;19,18;;Appartement
10;;BD;GENERAL DE GAULLE;4;85,21;;Appartement
10;;RUE;DE PORNIC;4;77,26;;Appartement
99;;RTE;DE LA COTE D AMOUR;1;15,39;;Appartement
90;;RUE;DE LA SOMME;4;104,57;496;Maison
22;;AV;DU GEN DE GAULLE;2;55,86;;Appartement
71;;RUE;DU PRESSOIR;2;49,16;;Appartement
167;;RUE;DU PONT FOUCHARD;3;51,13;;Appartement
72;;RUE;SAINT PIERRE;2;44,81;;Appartement
36;;RUE;JEAN ROSTAND;2;46;;Appartement
22;;RUE;DE MONTREAL;4;67,8;;Appartement
13;;RUE;JACQUES CARTIER;4;77,9;;Appartement
3;;RUE;SAINT MICHEL;3;91,03;;Maison
180;;AV;GEORGES CLEMENCEAU;2;79,53;;Appartement
79;;RUE;GAMBETTA;2;45,73;;Appartement
37;;RUE;DE LA REPUBLIQUE;4;75,32;;Appartement
1;;RUE;JEAN DE LA FONTAINE;4;79,68;;Appartement
7;;AV;DU MOULIN;3;55,74;;Appartement
25;;RUE;CASTELLANE;1;23,15;;Appartement
8;;PAS;LAVOISIER;5;109,46;428;Maison
21;;RUE;FRANCOIS PEISSEL;3;55,63;;Appartement
2;;RUE;JOSEPH VOLAY;5;197;;Appartement
196;;RUE;DE BELLEVILLE;3;51,94;;Appartement
44;;RUE;D ALSACE;1;21,01;;Appartement
29;B;RUE;PIERRE CURIE;3;59,25;;Appartement
1;;RUE;LAMARTINE;4;75,57;;Appartement
24;;RUE;SAINT SAUVEUR;2;52,87;;Appartement
16;;PAS;LEMOINE;1;23,21;;Appartement
11;;RUE;BERTHOLLET;3;57,55;;Appartement
13;;RUE;CUJAS;2;38,15;;Appartement
7;;RUE;JEAN GOUJON;2;90,96;;Appartement
1;;RUE;LORD BYRON;4;205,2;;Appartement
17;;RUE;DE SAINT PETERSBOURG;2;33,68;;Appartement
15;;AV;DE MESSINE;8;183,06;;Appartement
113;;RUE;DU FG POISSONNIERE;5;120,78;;Appartement
10;;RUE;DE ROCHECHOUART;2;72,4;;Appartement
21;;RUE;ROCROY;4;67,65;;Appartement
66;;RUE;DU FBG ST MARTIN;2;47,95;;Appartement
131;;AV;PARMENTIER;4;86,15;;Appartement
88;;BD;DE L HOPITAL;3;57,29;;Appartement
35;;RUE;DES TERRES AU CURE;1;19,11;;Appartement
1;;VLA;ADRIENNE SIMON;3;44;;Appartement
25;;RUE;DU PARC DE MONTSOURIS;1;20,53;;Appartement
11;;RUE;ANTOINE CHANTIN;2;41,04;;Appartement
5;;RUE;LIANCOURT;1;17,02;;Appartement
20;;RUE;BENARD;2;26,36;;Appartement
177;;RUE;D ALESIA;1;44,72;;Appartement
3;;RUE;DU SOMMET DES ALPES;2;55,03;;Appartement
110;;RUE;FALGUIERE;2;42,27;;Appartement
4;;RUE;DALOU;3;47,82;;Appartement
130;;RUE;DE JAVEL;2;27,8;;Appartement
173;B;AV;DE VERSAILLES;2;47,57;;Appartement
46;;RUE;CHARDON LAGACHE;1;21,87;;Appartement
8;;RUE;MASPERO;4;194,8;;Appartement
18;;RUE;EUGENE SUE;3;42,6;;Appartement
44;;RUE;CURIAL;1;12,21;;Appartement
17;;AV;SECRETAN;1;9,24;;Appartement
58;B;RUE;HAXO;1;16,02;;Appartement
13;;RUE;DES MURIERS;1;11,3;;Appartement
8;;RUE;DES RONDEAUX;1;16,21;;Appartement
19;;ESP;DES GUINANDIERS;3;50,4;;Appartement
1;B;BD;JEAN JAURES;3;65,62;;Appartement
2;;ALL;DES SOUCHES VERTES;5;92,82;;Appartement
1;;RUE;BERANGER;5;50,38;;Appartement
4;;RUE;DU DOCTEUR NAUDIER;2;57,9;;Appartement
4;;PL;DU CALVAIRE;4;84,04;;Appartement
7;;ALL;DU PRIEURE;2;52,33;;Appartement
31;;QUAI;DE MARNE;2;44,7;;Appartement
2;;RUE;HECTOR BERLIOZ;1;56,19;;Appartement
41;;AV;DE VERDUN;3;67,12;;Appartement
20;;RUE;DES ECOLES;2;28,1;;Appartement
3;;RUE;DES PLANTES;2;67,61;;Appartement
14;;RUE;VINCENT VAN GOGH;3;58,2;;Appartement
19;;RES;DU BOIS DU FOUR;4;68,86;;Appartement
1;;RUE;DE FEUCHEROLLES;3;76,81;;Appartement
1;;RUE;DE FEUCHEROLLES;4;88,75;;Appartement
59;;RUE;DES EBISOIRES;5;92,8;;Appartement
33;;RUE;LEBON;3;55,39;;Appartement
1;;RUE;HENRI RABOURDIN;3;74;;Appartement
12;;RUE;PHILIPPE DE DANGEAU;2;48,79;;Appartement
3;;RUE;RAINFROY;2;51,67;;Appartement
9009;;;OREE DES PINS;3;55,21;;Appartement
20;;RUE;DE LA REPUBLIQUE;3;78,77;;Appartement
12;B;RUE;COMMANDANT WAUTHIER;3;61,28;;Appartement
110;;IMP;DES CYPRES;5;106,02;;Maison
45;;CHE;DU GOURBENET;3;62;;Appartement
66;;RUE;DE SAINT EXUPERY;2;43,84;;Appartement
9;;RUE;GEORGES SIMENON;1;37,71;;Appartement
25;;AV;PAUL ROUSSEL;3;64,54;;Appartement
199;;CHE;DE LA MARINE;2;28,69;;Appartement
1121;;CHE;DU ROUQUIER;4;101,6;;Maison
9001;;RES;LA COUPIANE;4;77,05;;Appartement
166;;RUE;CARRETERIE;1;18,09;;Appartement
8331;;RUE;DES BARONNIES;3;72,82;;Appartement
5;;RUE;MARCELLIN BERTHELOT;4;78,49;;Appartement
59;;RUE;FREDERIC MISTRAL;1;43,76;;Appartement
39;;RUE;FERDINAND BUISSON;1;14,31;;Appartement
2;;RUE;DU BREUIL;2;42,07;;Appartement
817;;RUE;DE LA GARE;6;138,9;;Appartement
11;;ALL;D'OZONVILLE;4;84,68;;Appartement
6;;RUE;SERPENTE;3;58,24;;Appartement
7;;SQ;LA BRUYERE;3;65,52;;Appartement
15;;RTE;DE CHARTRES;2;57,63;;Maison
9001;;CHE;DE LA VIEILLE VIGNE;4;72,57;;Appartement
26;;RUE;DE LA FORET;5;111,92;;Maison
17;;RUE;DE LA RES PARC CASCADES;3;69,2;;Appartement
61;;RUE;JULES MASSENET;1;16,04;;Appartement
3;;RUE;PIERRE GILLES DE GENNES;3;60,37;;Appartement
13;;RUE;G. ANTHONIOZ DE GAULLE;4;68,7;;Appartement
6;;RUE;DE PARON;3;90,22;;Maison
9;;ALL;COLETTE;1;22,58;;Appartement
183;;AV;DU GENERAL LECLERC;4;102,36;;Appartement
11;;RUE;DE CHARTRES;2;44,83;;Appartement
3;;RUE;JOSEPH MERY;1;37,19;;Appartement
23;;AV;GALLIENI;2;67,05;;Appartement
4;;RUE;ALICE;1;28,51;;Appartement
1;Q;AV;JEAN PERRIN;3;56,17;;Appartement
80;;RUE;MARIUS AUFAN;2;33,95;;Appartement
33;;RUE;VINCENT MORIS;3;37,6;;Appartement
72;;RUE;MAURICE ARNOUX;2;47,93;;Appartement
160;;AV;JULES QUENTIN;2;37,28;;Appartement
6;;RUE;EMMANUEL KANT;2;42,7;;Appartement
22;;RUE;DES POSTES;0;12,59;;Appartement
17;;AV;DE LA REPUBLIQUE;1;36,42;;Appartement
136;;AV;DE LA DHUYS;2;39,44;;Appartement
66;;AV;DU HUIT MAI 1945;1;33,07;;Appartement
8;;AV;PAUL DE KOCK;1;25,47;;Appartement
12;;RUE;DANTON;3;70,22;;Appartement
75;;RUE;HOCHE;3;98,11;;Appartement
11;;VC;STR DES JASMINS;2;30,07;;Appartement
27;;ALL;DU VAL DE MARNE;4;67,82;;Appartement
3;;ALL;MARYSE HILSZ;4;85,78;;Appartement
9001;;AV;P VAILLANT COUTURIER;4;71,19;;Appartement
50;;RUE;NOEL;3;50,31;70;Appartement
13;;RUE;GUSTAVE CHARPENTIER;4;78,85;;Appartement
63;;RUE;GABRIEL PERI;3;55,53;;Appartement
21;;RUE;VICTOR HUGO;3;60,9;;Appartement
56;;AV;DU GEN DE GAULLE;4;70,1;;Appartement
1;;RUE;DELERUE;1;16,75;;Appartement
12;;RUE;DU DAUPHINE;3;49,68;;Appartement
108;;RUE;EDOUARD VAILLANT;1;25,09;;Appartement
41;;RUE;JEAN SACCARD;4;83,5;;Appartement
11;;AV;DE LA REPUBLIQUE;3;32,75;;Appartement
88;;AV;DE LA REPUBLIQUE;4;89,04;;Appartement
11;;ALL;DES NYMPHEAS;4;77,55;;Appartement
2;;ALL;VIOLLET LE DUC;2;59,5;;Appartement
66;;RUE;NATIONALE;2;36,93;;Appartement
14;;RUE;DES TOULEUSES MAUVES;3;61,87;;Appartement
4;;RUE;ST CHARLES;4;69,01;;Appartement
88;;RUE;DE LA PAPETERIE;2;52,6;;Appartement
32;;RUE;JEAN JAURES;1;18,07;;Appartement
24;;ALL;DES CHARBONNIERS;6;97,68;;Maison
71;;RUE;DE PARIS;2;49,43;;Appartement
4;;RUE;FRANCOIS COUPERIN;2;53,41;;Appartement
28;;;PARC DE MIRAVILLE;3;50;;Appartement
26;B;IMP;YLANG YLANG;4;84,48;;Maison
9;;RUE;DES MOUETTES;2;35,94;;Appartement
77;;RUE;LA PIECE;5;123,16;;Maison
90;;RUE;DE LAUSANNE;4;135,68;;Appartement
250;;RUE;DES FRENES;4;83,6;;Maison
322;;RUE;DE BRETIGNY;4;90,33;;Maison
29;;RUE;NATIONALE;1;18;;Appartement
5637;A;AV;DES THERMES;1;25,32;;Appartement
14;;ALL;DE PROVENCE;3;63,73;;Appartement
5255;;;LA JOUE DU LOUP;2;32;;Appartement
28;;RUE;AUBERNON;2;33,22;;Appartement
11;;RUE;PAUL DOUMER;2;49,23;;Appartement
2;;PL;GENERAL DE GAULLE;3;78,21;;Appartement
2;B;RUE;GARIBALDI;1;27,5;;Appartement
20;;AV;ARISTIDE BRIAND;1;32,73;;Appartement
28;;RUE;BOTTERO;2;34,51;;Appartement
14;;RUE;TRACHEL;2;37,1;;Appartement
9;B;AV;PIERRE BROSSOLETTE;3;64,12;;Appartement
3;;RUE;DES ETUVES;1;31,27;;Appartement
73;;RES;SAINTE - LUCIE;1;25,88;;Maison
30;;;LA FEUILLERAIE COUDARELS B;4;33,24;;Maison
5311;F;ALL;DES VERRIERS;3;58,03;;Appartement
9016;;AV;DES GOUMS;4;71,1;;Appartement
11;;RUE;CONSOLAT;1;22,99;;Appartement
2;;RUE;SAINT LAURENT;2;46,54;;Appartement
40;;BD;LECCIA;4;65,92;;Appartement
26;;RUE;BRANDIS;3;42,33;;Appartement
395;;RUE;PARADIS;3;117,64;;Appartement
5218;F;CHE;DE L ARGILE;2;42;;Appartement
56;;BD;DE LA VALBARELLE;3;62,43;;Appartement
287;;RTE;DES 3 LUCS;1;27,1;;Appartement
25;;TSSE;DE LA CLAIRE VOIE;3;61,8;;Appartement
5002;F;TSSE;DU CHATEAU VENTO;1;17,76;;Appartement
54;;CHE;DU BASSIN;4;86,46;;Maison
47;;CR;DE FONTAINIEU;3;64,28;;Appartement
19;;AV;DE ST ANTOINE;2;36,18;;Appartement
6;;CHE;DE BIZET;1;19,04;;Appartement
1;;BD;ROGER CHIEUSSE;4;73,87;;Appartement
8;;RUE;DU JONCAL;2;50,38;;Appartement
11;C;RUE;MARCEL SEMBAT;2;47,62;;Appartement
1;;RUE;FRAGAN;4;77,12;;Appartement
52;;BD;AMPERE;4;87,73;;Appartement
1;;RUE;DE LA CHAUSSEE;2;55,23;;Appartement
9;;RUE;PIERRE BROSSOLETTE;3;62,64;;Appartement
9001;;RUE;SULLY;4;63,65;;Appartement
9001;;RUE;SULLY;4;62,36;;Appartement
74;;RUE;ADOLPHE THIERS;3;52,98;;Appartement
22;B;RUE;LEPOUZE;2;26,23;;Appartement
9001;;RES;MEDITERRANEE;2;42,58;;Appartement
5278;;;AUCCIULA;3;68,1;;Appartement
6419;;RTE;D AIGUES VIVES;3;39,23;;Appartement
29;;GR;GRAND RUE;4;74,24;;Appartement
5040;;;L EGLISE;3;53,94;;Appartement
20;;CHE;DE MOUNESTIE;4;78;;Appartement
292;;AV;DE FRONTON;2;39,83;;Appartement
12;;IMP;DU BARON;4;85,61;;Appartement
3;;RUE;DE L'ARBRE D'OR;2;45,23;;Appartement
10;;RUE;RENE DUMONT;3;64,47;;Appartement
4;;RUE;LAFAYETTE;1;28,77;;Appartement
108;B;CRS;SAINT LOUIS;2;40,41;;Appartement
7;;RUE;DU GENERAL DE GAULLE;4;84,52;;Appartement
1429;;HAM;TOURNESOL;3;64,09;;Maison
9001;;RES;LA BACHELLERIE;4;71,69;;Appartement
5;;IMP;DES TIRAILLEURS SENEGALAIS;4;79;;Maison
18;;RUE;ARISTIDES DE SOUSA MENDES;3;73,92;;Appartement
9001;;RUE;DES TILLEULS;4;82,6;;Maison
9001;;RES;DOMAINE DE LA HE;3;67,78;;Appartement
5411;F;IMP;DE LA GRANDE BLEUE;3;30,08;;Maison
10;;IMP;ANTHERIEU;3;67,03;;Appartement
11;;RUE;MAX ROUQUETTE;2;45,35;;Appartement
15;B;PL;DE L EGLISE;3;65,2;;Appartement
3;;PL;ROSA PARKS;3;65,9;;Appartement
9001;;;CHEMIN DE LA COSTARDAIS;2;54,78;;Appartement
6;;RUE;DE LA PSALETTE;2;26,55;;Appartement
26;;BD;MAL FOCH;1;24,42;;Appartement
1;;BD;JOSEPH VALLIER;4;70,1;;Appartement
36;;AV;DE VERDUN;1;27,63;;Appartement
